DEP,PROV,DIST,CPINEI,NOMCP,LAT,LNG
LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130079,EL HUAMBE,-4.157321,-73.504609
LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130006,LLANCHAMA,-3.857972,-73.409216
LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130022,PEÑA NEGRA,-3.863147,-73.336776
LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130004,PUERTO ALMENDRAS,-3.831725,-73.378019
LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130070,UNION PROGRESO,-3.856809,-73.338717
LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130005,NINA RUMI,-3.84476,-73.385881
LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130024,EL VARILLAL,-3.88769,-73.351417
LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130027,NUEVA ESPERANZA,-3.906268,-73.413631
LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130025,MORALILLO,-3.915436,-73.340366
LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130063,BUENA ESPERANZA,-3.898959,-73.322513
LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130064,SANTA BARBARA,-3.944115,-73.329072
LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130065,SAN CARLOS,-3.95913,-73.345052
LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130028,EL DORADO,-3.954165,-73.40642
LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130034,NUEVO MILAGRO,-3.938261,-73.374641
LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130036,VILLA EL BUEN PASTOR,-3.94906,-73.362468
LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130026,SAN JOSE,-3.931736,-73.391568
LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130012,3 DE OCTUBRE,-3.966216,-73.361572
LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130013,BELEN DE JUDA,-3.978227,-73.384126
LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130031,13 DE FEBRERO,-4.01441,-73.433988
LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130020,5 DE JUNIO,-4.003298,-73.39309
LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130032,EL PAUJIL,-4.0423,-73.437658
LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130030,PAUJIL II ZONA,-4.00331,-73.469968
LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130029,24 DE JUNIO,-4.02111,-73.423672
LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130033,NUEVO HORIZONTE,-4.071663,-73.445628
LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130039,EX PETROLEROS II ZONA,-4.064827,-73.47498
LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130037,EX PETROLERO I ZONA,-4.094611,-73.453248
LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130040,SAN PEDRO PINTUYACU,-4.103035,-73.402808
LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130045,SAN LUCAS,-4.103997,-73.454582
LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130043,UNION,-4.127523,-73.415961
LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130044,10 DE OCTUBRE I ZONA,-4.123837,-73.448246
LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130056,CAHUIDE,-4.230846,-73.487435
LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130046,EL TRIUNFO,-4.154149,-73.47431
LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130055,12 DE ABRIL,-4.219298,-73.483968
LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130049,HABANA,-4.203191,-73.479276
LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130054,NUEVO MIRAFLORES,-4.223144,-73.466734
LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130057,12 DE OCTUBRE,-4.246472,-73.548449
LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130018,ZUNGAROCOCHA,-3.828583,-73.354973
LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130074,ANGEL CARDENAS,-4.05018,-73.426447
LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130077,CREACION 2000,-4.082073,-73.395123
LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130078,NUEVO TRIUNFO,-4.126287,-73.497835
LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130082,10 DE OCTUBRE II ZONA,-4.15309,-73.462008
LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130083,LOS CEDROS,-4.2224,-73.451622
LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130084,HUASCAR,-4.260209,-73.546
LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130086,NUEVO SAN JUAN,-4.330362,-73.531539
LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130088,SANTA CATALINA,-4.121844,-73.483562
LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130089,23 DE FEBRERO,-4.14977,-73.458473
LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130090,SAN MARTIN II ZONA,-4.179054,-73.437879
LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130097,SHUSHUNA,-3.830152,-73.335523
LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130017,QUISTOCOCHA,-3.822999,-73.326179
LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130069,LOS DELFINES,-3.844786,-73.3394
LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130093,CALIPSO,-3.874062,-73.347699
LORETO,LORETO,NAUTA,1603010099,1 DE FEBRERO,-4.356997,-73.55276
LORETO,LORETO,NAUTA,1603010001,NAUTA,-4.501522,-73.569425
LORETO,LORETO,NAUTA,1603010024,SANTA CRUZ,-4.48026333,-73.54581
LORETO,MAYNAS,BELEN,1601120049,SAN JUAN DE MUNICH,-3.93564,-73.32016
LORETO,MAYNAS,BELEN,1601120076,5 DE DICIEMBRE,-3.881458,-73.318977
LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130098,VILLA CRUZ,-3.853171,-73.373493
LORETO,MAYNAS,SAN JUAN BAUTISTA,1601130099,SAN CIRILO,-4.056845,-73.455098
